"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,"81,218",+47,"3,281",4,"73,650","4,287","1,399",56,2
Italy,"69,176",,"6,820",,"8,326","54,030","3,393","1,144",113
USA,"54,916",+35,784,4,379,"53,753","1,175",166,2
Spain,"42,058",,"2,991",,"3,794","35,273","2,636",900,64
Germany,"32,991",,159,,"3,290","29,542",23,394,2
Iran,"24,811",,"1,934",,"8,913","13,964",,295,23
France,"22,304",,"1,100",,"3,281","17,923","2,516",342,17
Switzerland,"9,891",+14,132,10,131,"9,628",141,"1,143",15
S. Korea,"9,137",+100,126,6,"3,730","5,281",59,178,2
UK,"8,077",,422,,135,"7,520",20,119,6
Netherlands,"5,560",,276,,2,"5,282",435,324,16
Austria,"5,315",+32,28,,9,"5,278",26,590,3
Belgium,"4,269",,122,,461,"3,686",381,368,11
Norway,"2,866",,12,,6,"2,848",44,529,2
Canada,"2,792",,26,,112,"2,654",1,74,0.7
Australia,"2,423",+106,8,,118,"2,297",11,95,0.3
Portugal,"2,362",,33,,22,"2,307",48,232,3
Sweden,"2,299",,40,,16,"2,243",143,228,4
Brazil,"2,247",,46,,2,"2,199",18,11,0.2
Israel,"2,030",+100,5,2,58,"1,967",37,235,0.6
Turkey,"1,872",,44,,,"1,828",,22,0.5
Malaysia,"1,796",+172,17,1,183,"1,596",64,55,0.5
Denmark,"1,591",,32,,1,"1,558",69,275,6
Czechia,"1,394",,3,,10,"1,381",19,130,0.3
Ireland,"1,329",,7,,5,"1,317",29,269,1
Japan,"1,193",,43,,285,865,54,9,0.3
Luxembourg,"1,099",,8,,6,"1,085",3,"1,756",13
Ecuador,"1,082",,27,,3,"1,052",2,61,2
Pakistan,"1,000",+28,7,,19,974,5,5,0.03
Thailand,934,+107,4,,70,860,11,13,0.06
Chile,922,,2,,17,903,7,48,0.1
Poland,901,,10,,1,890,3,24,0.3
Romania,794,,12,,79,703,15,41,0.6
Finland,792,,1,,10,781,11,143,0.2
Saudi Arabia,767,,1,,28,738,,22,0.03
Greece,743,,20,,29,694,35,71,2
Diamond Princess,712,,10,,587,115,15,,
South Africa,709,+155,,,4,705,2,12,
Indonesia,686,,55,,30,601,,3,0.2
Iceland,648,,2,,51,595,13,"1,899",6
India,562,+26,10,,40,512,,0.4,0.01
Singapore,558,,2,,156,400,14,95,0.3
Philippines,552,,35,,20,497,1,5,0.3
Qatar,526,,,,41,485,6,183,
Russia,495,,1,,22,472,8,3,0.01
Slovenia,480,,4,,3,473,12,231,2
Panama,443,,6,,1,436,33,103,1
Peru,416,,7,,1,408,9,13,0.2
Mexico,405,+38,5,1,4,396,1,3,0.04
Egypt,402,,20,,80,302,,4,0.2
Bahrain,392,,3,,177,212,2,230,2
Argentina,387,,6,,52,329,,9,0.1
Hong Kong,387,,4,,102,281,4,52,0.5
Croatia,382,,1,,5,376,6,93,0.2
